id,episode_number,nisioleto_name,episode_title,description,latitude,longitude,instagram_url
104,99,CAMPIELLO BARBARO,Orario 🕰,"Nome dato ad una famiglia in quanto un loro provveditore ritolse ai barbari il vessillo di San Marco. “Ciao, vorrei chiedervi un favore. Io sono nato molti anni fa a Dorsoduro 365, da bambino giocavo in Campiello Barbaro, mi fareste rivedere un pezzetto di quei luoghi? Ora abito in Abruzzo lontano dalla mia Venexia. Grazie” Questo un messaggio ricevuto qualche tempo fa da @stefanubi51. È stato per noi un piacere poter far rivere, a nostro modo, un piccolo scorcio di Venezia tanto caro a Stefano.",45.430532,12.332318,https://www.instagram.com/reel/CsHCxAtK0rA/
105,100,CALLE EMO,Tagli 🫂,Fino dal 1301 abitava qui la famiglia Emo.,45.443380,12.326621,https://www.instagram.com/reel/CsZB1psKuWC/
106,101,CALLE BASSA,Altezza💁‍♀️,"Anche se qualcuno la chiama così per la bassa imboccatura dalla parte della Tana, troviamo qui nel 1780 una casa della famiglia Basso.",,,https://www.instagram.com/reel/CsrGYHsKUaY/
107,102,RAMO SECONDO CAPPELLO,Dress Code 🧢,Varie sono le origini di questo nome. In un luogo della città fa riferimento ad una insegna di una osteria. In altri luoghi della città fa riferimento a famiglie diverse che abitavano in quella zona (o Cappello o Capuelli),,,https://www.instagram.com/reel/Cs9FuOQqp_V/
108,103,CALLE DEI FARI,Buio 💡,Questa calle deve il suo nome per essere a fianco dell'edificio che ospita il Comando Fari e Segnalamenti della Marina Militare Italiana a Venezia.,,,https://www.instagram.com/reel/CtPHg2fKqXr/
109,104,CAMPIELLO MOSCA,Racchetta 🎾,Questa zona ricorda una famiglia Mosca. Fino dal 12 agosto 1406 un «Guglielmo Mosca» ebbe un privilegio di cittadinanza veneziana.,,,https://www.instagram.com/reel/CthIgNWqBqL/
110,105,CALLE DEL DIAVOLO,Corna 😈,"Questa calle prende il nome dal vicino ponte, così chiamato, probabilmente, per essere stato anticamente scosceso e dirupato.",,,https://www.instagram.com/reel/CtzIgi7KAaR/
111,106,CORTE STUPENDA,Bellissima 😍,Era nel 1661 domiciliato presso questa corte un «Francesco Stupendo».,,,https://www.instagram.com/reel/CuFHi-2KgQ5/
112,107,FONDAMENTA DE LA SALUTE,Raffreddore 🤧,"Nel 1630, afflitta la città da fiera pestilenza, fece voto il Senato di erigere un tempio a S. Maria della Salute se avesse impetrata la liberazione dal flagello.",,,https://www.instagram.com/reel/Cuo3QUrK79x/
113,108,CAMPIELLO DEI ORBI,Occhiali 🕶,"Luoghi in cui si trovavano stabili di proprietà della scuola degli orbi, o dei ciechi.",,,https://www.instagram.com/reel/CvO2fkyqgdg/
114,109,SOTOPORTEGO E CALLE DE LE ACQUE,Sete 💧,"Da una di quelle botteghe, che ora diciamo da caffé, e che chiamavansi anticamente «botteghe da acque».In una guida del 1724 si dice: «Le migliori cioccolate, caffè, acque gelate e rinfrescative, ed altre simili bevande si compongono e si vendono in Calle delle Acque, presso il Ponte de' Baratteri».",,,https://www.instagram.com/reel/CvfSh1Rq3Ph/
115,110,SOTOPORTEGO DE L'UVA,Vuota 🍇,Nome dato per via di una vite che stendeva i suoi rami fino all'imboccatura del sotoportego.,,,https://www.instagram.com/reel/Cvz3NySqjPm/
116,111,CALLE DEI MONTI,Scout 🏕,"Nel 1770 troviamo in questa calle le abitazioni dei fratelli Monti, Francesco e Tommaso, che erano stati approvati il 25 settembre 1697 cittadini originarii di Venezia assieme ai fratelli.",,,https://www.instagram.com/reel/CwQLRkpKqzY/
117,112,CALLE E CORTE DE GLI SPIRITI,Fantasmi 👻,Abitava qui anticamente una famiglia Spirito.,,,https://www.instagram.com/reel/Cw0WRR6q1Fm/
118,113,CALLE S. GALLO,Sveglia ⏰️,"Si chiamano così le strade vicine alla chiesa, dedicata a san Gallo.",,,https://www.instagram.com/reel/CxOOf7qrkhs/
119,114,CORTE ZAPPA,Orto 🪓,Luoghi in cui si trovano possedimenti della famiglia Zappa.,,,https://www.instagram.com/reel/Cxn0uF3qi2r/
120,115,SOTOPORTEGO MORO,Abbronzato 👦🏽,"Zone in cui troviamo proprietà della famosa famiglia Moro, che diede a Venezia senatori, condottieri, vescovi e anche un doge.",,,https://www.instagram.com/reel/Cx_JeePLJ_2/
121,116,CALLE DE L'OCA,"1, 2, 3, 4 🎲",Questa calle ebbe il nome da una bottega da fruttaiuolo all'insegna dell'«Oca».,,,https://www.instagram.com/reel/CyWYuhkrRwr/
122,117,SOTOPORTEGO DEI GROPPI,Nodi 🪢,Zona in cui si trovavano case della famiglia Groppi.,,,https://www.instagram.com/reel/Cyya8vIKYwW/
123,118,RAMO DELLE DOCCE,Lavaggio 🛁,"Presenza di locali adibiti a docce pubbliche, e utilizzati per questo scopo fino al 1950 circa.",,,https://www.instagram.com/reel/CzL6fxhquSp/
124,119,CALLE VERDI,Filtro 🟢,Strade in cui si trovavano abitazioni della famiglia Verdi (anche Verde). Così anche in altre zone della città.,,,https://www.instagram.com/reel/CzqoCZDqfJB/
125,120,SOTOPORTEGO TORRETTA,Difesa 🛡,Si trovavano qui (zona San Marco) abitazioni della famiglia Torretto. Altrove (san Girolamo) indica un edificio nei pressi del ponte che aveva due torrette.,,,https://www.instagram.com/reel/C0CEXKWK3Kf/
126,121,CALLE DEL PORTEGO SCURO,Torcia 🚪,C'era qui un lungo ed oscuro sotoportego.,,,https://www.instagram.com/reel/C0ewV2MLWhG/
127,122,CALLE DE L'ARCO,Scontro 🛡🏹,Arco fa riferimento al primo ponte fatto ad arco (in pietra).,,,https://www.instagram.com/reel/C0zl0v0r6RO/
128,123,CORTE DE L'ORTO,Verdure 🍅,"Questo nome indica, semplicemente, la presenza di un orto",,,https://www.instagram.com/reel/C1KeKzNrafs/
129,124,BOCCA DE PIAZZA,Arrivato 🚩,Punto da cui si imbocca facilmente piazza San Marco.,,,https://www.instagram.com/reel/C1cr1zQLeKP/
130,125,FONDAMENTA DEI RIFORMATI O DEL BERSAGLIO,Centro! 🎯,"Si trovava qui un locale dove, sotto la Repubblica, si tirava al bersaglio con le bombarde.",,,https://www.instagram.com/reel/C2Ie50vLQXM/
131,126,CAMPO S. LEONARDO,Museo 👨‍🎨,"Si affaccia in questo campo la chiesa di San Leonardo. La ex chiesa parrocchiale di S. Leonardo venne fabbricata nel 1025 dalla famiglia Crituazio e consacrata nel 1343 per le mani dei due prelati Marco Morello Carmelitano, vescovo Domoceno, e Francesco, vescovo Urense. L'ultima rifabbrica data dal 1794. Era visitata ogni anno nel giorno di S. Leonardo dalla Scuola della Carità, che in essa aveva avuto origine. Fu chiusa nel 1807.",,,https://www.instagram.com/reel/C2dDSLoL8S0/
132,127,FONDAMENTE NOVE,Punti 9️⃣,"Nome assunto dalle famose fondamenta quando si costruirono, in quanto prima non c'erano. La loro costruzione risale a fine 1500.",,,https://www.instagram.com/reel/C20OxPjLS6i/
133,128,CALLE CASTAGNA,Salvataggio 🌰,"In questa calle abitava Giacomo Castagna, ricco mercante di tele, panni, cambellotti, ed altro.",,,https://www.instagram.com/reel/C3InA3pqHHZ/
134,129,SOTOPORTEGO DEI FACCHINI,Sgobbare 🧳,"Si trovava qui uno stazio di facchini, presenti in molte contrade, i quali, fra le altre incombenze, avevano quella di pulire le pilelle ed i pozzi.",,,https://www.instagram.com/reel/C3ieAABKL_i/
135,130,CALLE TINTORIA,Lavasecco 👔,"Probabilmente in questa zona, quando non ancora edificata, vi era la presenza di “chiovere”, luoghi in cui si tingevano e si asciugavano i tessuti.",,,https://www.instagram.com/reel/C32S_YyLbUI/
136,131,CALLE MORA,Dissetante 🍻,Luogo in cui si trovavano abitazioni della famiglia Mora.,,,https://www.instagram.com/reel/C4KgtR1AWPq/
137,132,CORTE DEL MURO,Monster block 🧱,Probabilmente si trovava qui un muro abbattuto per creare questa corte.(al momento non abbiamo trovato fonti certe sull'origine di questo toponimo),,,https://www.instagram.com/reel/C4hs4KvK4bx/
138,133,SOTOPORTEGO DEI DAI,Supporto 💪,"Nei negozi adiacenti al ponte si vendevano i dadi da gioco (dai in veneziano) o si giocava agli stessi. Fin dai tempi più remoti si giocava ai dadi per le strade di Venezia, ed abbiamo alcune leggi del secolo XIII che proibivano di far ciò sotto il portico della chiesa di S. Marco, e sotto il palazzo ducale, allorquando stava radunato il Maggior Consiglio. Per tradizione si dice che il nome di questo ponte sia derivato dal grido “dai” fatto contro i congiurati di Bajamonte Tiepolo il 10 giugno 1310. Resta una tradizione in quanto anche prima di questa data si chiama ponte dei dai.",,,https://www.instagram.com/reel/C42U9Q3KfJq/
139,Extra,CALLE DE LA COLOMBINA,Buona Pasqua 🕊,"Alcune strade in città portano questo nome, probabilmente dovuto al cognome della famiglia che vi abitava.",,,https://www.instagram.com/reel/C5KyV0Gqn05/
140,134,CORTE CORRER,Allenamento 🏃,La famiglia Correr aveva qui della abitazioni.,,,https://www.instagram.com/reel/C5h-QffqIZy/
141,135,RAMO PRIMO DE LA ROTONDA,Precedenza 🔄,Nome dovuto alla forma di un edificio che qui si trovava,,,https://www.instagram.com/reel/C52kr_wKQmU/
142,136,CALLE DEL ZOLFO,Pericolo 🔥,In questa zona era presente una raffineria di zolfo.,,,https://www.instagram.com/reel/C6NuvO5Klgt/
143,137,PONTE DE LA PIOVA,Meteo 🌧,Si trovavano abitazioni della famiglia Dalla Piova.,,,https://www.instagram.com/reel/C6ng3_-qWLM/
144,138,CALLE DEI FABBRI,Intervento 🛠,"Si trovavano qui anticamente varie officine di fabbri. Fino dai primi tempi i Fabbri ferrai erano numerosissimi, e formavano un corpo, sopra il quale gli antichi dogi vigilavano. Nei principii del mille questi artieri dovevano lavorare una data quantità di ferro per conto del fisco, cioè dei dogi, che allora commerciavano come i privati.",,,https://www.instagram.com/reel/C68F8t2KsjL/
145,139,SALIZADA DE LA CHIESA,Goal! 🥅,"Nei dintorni, si trova una chiesa. Sempre!",,,https://www.instagram.com/reel/C7QqWr5KykO/
146,140,CALLE DEL CAMIN,Scaldarsi 🪵,"Zona in cui tuttora sorge una piccola ciminiera (camin in veneziano) dell'antica fabbrica Saffa, dismessa attorno al 1950.",,,https://www.instagram.com/reel/C7mWg14K4hm/
147,141,CAMPIELLO DEL TEREN,Progetto 🏗️,"C'era qui un terreno senza costruzioni, appartenente alla famiglia Panizza.",,,https://www.instagram.com/reel/C77JXODA9Oo/
148,142,CALLE DE LE CANNE,Devoti 🌿,Si trovava qui un deposito di canne che serviva per spalmare i navigli (imbarcazioni).Da questi depositi potrebbe derivare il nome di “cannareggio”.,,,https://www.instagram.com/reel/C8OcdavqgMM/
149,143,CALLE DE L'ACQUAVITA,Disidratato 🚰,"Si trovava qui una bottega di acquavite. Sotto la generale denominazione di acquavitieri, ossia di venditori d'acquavite, erano ricompresi anche i caffettieri. Oltre all'esclusiva della vendita al minuto dell'acquavite e del caffè, l'Arte aveva anche il privilegio nella vendita del ghiaccio e soprattutto dei rosoli che venivano fabbricati in Venezia. Per questo motivo, oltre che di consumo, essa veniva considerata anche Arte di commercio. Il numero delle botteghe in città era sottoposto a limitazione anche se, in verità, non ebbero mai a dirsi poche, contandosene nel 1773 fino a 218, con 155 inviamenti, 6 banchetti, e 30 posti chiusi, atti a trasformarsi in botteghe",,,https://www.instagram.com/reel/C8kHg33qYO8/
150,144,CAMPIELLO DE L'ORATORIO,Partita ⚽,"Nei pressi, si trovava l'oratorio di san Filippo Neri, sia alla Fava che a san Nicolò.",,,https://www.instagram.com/reel/C840JFpq-cU/
151,145,CALLE BEVILACQUA,Caldo🚰,Abitava in questa zona una famiglia Bevilacqua.,,,https://www.instagram.com/reel/C9MTciGK1cw/
152,146,CALLE VERDI,Opera 🎼,Strade in cui si trovavano abitazioni della famiglia Verdi (anche Verde). Così anche in altre zone della città.,,,https://www.instagram.com/reel/C9g3OYrKjOL/
153,147,CALLE DEI SECHI,Castello 🪣,Zona paludosa (barena) che nel riflusso della marea restava secca,,,https://www.instagram.com/reel/C92hZ3wKuaO/
154,148,CALLE VENEZIANA,Tipica tipica 💙,Queste strade sono chiamate negli Estimi del Venezian. Alvise e Simeone Conti notificarono nel 1582 d'appigionare una casa in parrocchia di S. Moisè a Margherita Veneziana.,,,https://www.instagram.com/reel/C-KvZnyq5cQ/
155,Extra,CAMPIELLO S. LORENZO,Desiderio 🌌,Vi erano alcune case appartenute al monastero di san Lorenzo.,,,https://www.instagram.com/reel/C-dHUIrKlO9/
156,149,CALLE DEI MUTI,Senza parole 😶,La nobile famiglia Muti possedeva qui delle abitazioni (e anche in altre parti della città).,,,https://www.instagram.com/reel/C-w4iy7Opqm/
157,150,CALLE MINESTRA,Zuppa 🍲,"Dalla famiglia Dabalà, denominata anche Manestra.",,,https://www.instagram.com/reel/C_GpcFmOVtY/
158,151,FONDAMENTA TRON,Imperatore 👑,"Cognome di una famiglia patrizia, arrivata a Venezia nel 966.",,,https://www.instagram.com/reel/C_a92RgIqd-/
159,Extra,CALLE DRIO LE SCUOLE,Primo giorno 🎒,"Strade in cui si trovavano delle scuole, intese come confraternite.",,,https://www.instagram.com/reel/C_udXWBOh62/
160,152,CALLE NOVA DE LE TERESE,Nomi 👩🏻‍🦱👩🏼‍🦱,"Presenza di chiesa e convento di vergini Carmelitane, volgarmente dette Terese.",,,https://www.instagram.com/reel/C__OGrNu9HN/
161,153,RAMO PRIMO DE LA SACCA,Promoter 🗯️,"Si trovava qui una insenatura (sacca) che nel tempo è stata interrata. In altri luoghi, fa riferimento al fatto che la calle dove si trovano le case non ha uno sbocco. Le case si dicevano quindi “poste in sacca”.",,,https://www.instagram.com/reel/DAOcWgSNwCd/
162,154,CORTE BONAZZA,Bellezza 😍,Si trovavano qui vari stabili della famiglia Bonazza.,,,https://www.instagram.com/reel/DAc5KOdudAP/
163,155,SOTOPORTEGO DEL LAGO,Relax 🛶,Non abbiamo ancora trovato fonti sull'origine di questo toponimo.,,,https://www.instagram.com/reel/DAu3agROrov/
164,156,CALESELLA DE L'OCHIO GROSSO,Gonfi 👀,Si trovavano qui abitazioni della famiglia Occhio Grosso.,,,https://www.instagram.com/reel/DA840yNO8w4/
165,157,CORTE TRAMEZINA,Boni 🥪,"Aveva qui case la famiglia Tramezzin, dalla Romagna, esperta in arte tipografica.",,,https://www.instagram.com/reel/DBMWYoPuto7/
166,158,RAMO DE LA VERNISE,Pittura 🖌️,"Non abbiamo trovato informazioni su questo nome. Probabilmente dati i vicini (porpora, turchese), qui si fabbricava qualche vernice.",,,https://www.instagram.com/reel/DBb7ORKuWoy/
167,159,CALLE LARDONI,Errore 🥷🏻,"Abitava in questa zona la famiglia Lardona, i cui membri erano denominati Lardoni.",,,https://www.instagram.com/reel/DBrfN0IOX1k/
168,160,CALLE DEL VENTO,Aria 🌬️,In alcune occasioni qui il vento è più forte che nelle calli vicine.,,,https://www.instagram.com/reel/DB9Yr1ZueMv/
169,161,CORTE DEL SABION,Fastidio 🏖️,Si trovava qui un deposito e spaccio di sabbia.,,,https://www.instagram.com/reel/DCPhWB2O4NZ/
170,162,CALLE DEL CANTIER,Ingegneri 🧰,In questa zona si trovava un cantiere navale,,,https://www.instagram.com/reel/DCms4ClOUW7/
171,163,CALLE DE LA CORONA,Assaggio 🍺,Si trovava qui una hostaria con l'insegna “alla Corona”. Il ponte che qui si trova e che ha questo nome fu il primo di Venezia a venire rifatto in ferro nel 1850.,,,https://www.instagram.com/reel/DC93Km6ugxg/
172,164,CALLE DEL SOTOPORTEGO SCURO,Di là 🔦,C'era qui un lungo ed oscuro sotoportego.,,,https://www.instagram.com/reel/DDXnYBMOEU1/
173,165,PONTE DE LA SCOAZZERA,Differenziata 🗑️,Luogo dove si raccoglievano le spazzature.,,,https://www.instagram.com/reel/DDu4FSaOJXc/
174,166,CALLE BATAGIA,Magenta 🪖,Possedeva varie case qui la famiglia Battaglia,,,https://www.instagram.com/reel/DEGCM5aOivg/
175,167,CALLE LONGHI,Pantaloni 👖,Alla data di pubblicazione non abbiamo trovato la spiegazione di questo nome,,,https://www.instagram.com/reel/DEdM0ISu8wo/
176,168,PONTE DEI SARTORI,Camicia 🪡,"Possedeva 17 case in questa zona l'arte dei sarti, o sartori.",,,https://www.instagram.com/reel/DE0XPHJxtfL/
177,169,FONDAMENTA SAN FELICE,Contento 😃,Nome dovuto alla vicina chiesa di San Felice.,,,https://www.instagram.com/reel/DFLg_-XOHNz/
178,170,CALLE DELLA TOLETTA,Mal di pancia 🚽,Nome dovuto ad una piccola tavola che si trovava per passare il rio (successivamente rio de la toletta),,,https://www.instagram.com/reel/DFhWEcAqOzB/
179,171,CORTE S. MARCO,Piazza 😳,Zona i cui stabili appartenevano alla Scuola grande di San Marco.,,,https://www.instagram.com/reel/DF53-P5ucE4/
180,172,CALLE DE LA RACHETA,Ping pong 🏸,"Si giocava in questo luogo alla racchetta. La racchetta, o lacchetta, è uno strumento col quale si gettano in alto le palle.",,,https://www.instagram.com/reel/DGRA25uOWX7/
181,173,RAMO FONTANA,Finita,Si trovavano qui abitazioni della famiglia Fontana. Sono diverse queste denominazioni in giro per la città (che fanno riferimento a diverse famiglie).,,,https://www.instagram.com/reel/DGyhco5Ogwq/
182,174,FONDAMENTA LOMBARDO,Madunina 🍀,Presenza di abitazioni della famiglia Lombardo.,,,https://www.instagram.com/reel/DHJslYou1uO/
183,175,CALLE DE LE TRE CROSE,Calvario ☦️,Denominazione dovuta dall'aspetto che rende la calle medesima intersecandosi con altre vicine.,,,https://www.instagram.com/reel/DHfilH-KXN7/
184,176,RIO TERA' DEI PENSIERI,Problemi 💭,Luogo adatto al meditare.,,,https://www.instagram.com/reel/DH6f1WuOsuO/
185,177,CALLE CENTO PIETRE,Contare 🪨,Era qui alloggiata la famiglia Centopiere.,,,https://www.instagram.com/reel/DIUKlDLKXFu/
186,178,SOTOPORTEGO TREVISAN,Campagnolo 👨‍🌾,Fin dal 1242 troviamo tracce della presenza della famiglia Trevisan.,,,https://www.instagram.com/reel/DIuBuC9vKBm/
187,179,CALLE DEL PORTON,Passaggio 🚪,Nome dovuto all'ampia porta che dà l'ingresso in questa calle.,,,https://www.instagram.com/reel/DJFFvTlMGEp/
188,180,RAMO DEL STRADON,Buttarsi🛣️,Nome dovuto alla larghezza di questa strada (rispetto a quelle vicine).,,,https://www.instagram.com/reel/DJcZuPosVoa/
189,181,CALLE DEI FRATI,Processione 🕯️,Presenza di un monastero maschile.,,,https://www.instagram.com/reel/DJvmy5DsO4v/
190,182,PONTE DEL SOCCORSO,Aiuto ⛑️,"Una certa Veronica Franco, donna molto bella che ebbe “poco modesti costumi” (Tassini), si pentì e fondò, nel 1563, l'ospizio con tale nome raccogliendo “donne traviate” (sempre il Tassini).",,,https://www.instagram.com/reel/DKFjA8pqswd/
191,183,CORTE CORNER,Angolo 🚩,Questo nome fa riferimento a stabili appartenuti ad una famiglia Corner o a stabili in cui per un periodo è vissuta una famiglia con questo cognome.,,,https://www.instagram.com/reel/DKaJZwuN0hI/
192,184,SOTOPORTEGO E CORTE DEL POZZO D'ORO,Materiale 🪙,Questa denominazione dipende dall'eccellenza dell'acqua di cui questi pozzi anticamente erano forniti.,,,https://www.instagram.com/reel/DKuvu24MkBO/
193,185,CORTE DE L'ABATE,Richieste 🔔,"Qui si trovano case appartenenti all'abbazia di san Gregorio, che erano destinate gratuitamente a famiglie povere.",,,https://www.instagram.com/reel/DLDWCrKMMsv/
194,Extra,CAMPO S. PIETRO,Festa de San Piero de Casteo 🎑⛪️🔑,Un insolito personaggio ci indica come vivere bene la festa di san Piero de Casteo! Che sia proprio...il festeggiato?,45.433995,12.359797,https://www.instagram.com/reel/DLSy5efT5O8/
195,186,PONTE DE L'ANATOMIA,Autopsia😵,"Dal 1671 presenza del teatro anatomico (c'era una legge della Serenissima che obbligava a fare questi studi, per il progredire della medicina)",,,https://www.instagram.com/reel/DLp9_LGpF3E/
196,187,SOTOPORTEGO DE LA POLVERE,Allergia 🧹,Da una fabbrica di polvere di Cipro. Di questa polvere al tempo della Repubblica si faceva un uso grandissimo per i toupet delle dame e per le parrucche dei gentiluomini.,,,https://www.instagram.com/reel/DL-kWrGNdkS/
197,188,CALLE DE LA CERERIA,Candele 🕯️,"In questa zona si trovava una cereria. I Veneziani traevano la cera vergine dal Levante, nonché dalla Moldavia e dalla Valacchia, e, per la particolare condizione della città, potevano depurarla senza che la polvere l'insudiciasse. In gran conto si tenevano adunque le candele ed i torchi veneziani, 24 ai bei tempi n'erano le fabbriche, ed ascendeva a tre milioni e mezzo lo spaccio esterno, senza contare l'interno, grandissimo pur esso, specialmente pel vero scialacquo di cere, solito a farsi nelle sacre funzioni. Nel secolo XVIII era celebre in Venezia un G. Battista Talamini, che aveva bottega da speziale a Rialto, all'insegna della Fonte, e che morì il 10 aprile 1760. Egli, mediante un suo particolare secreto, e ferri da lui inventati, giunse il primo a colorire, tirare, e lavorare la cera in modo da imitare con essa ogni qualità di piante, fiori, frutti, ed animali, dandole inoltre tanta durezza da renderla, almeno per qualche tempo, atta a sofferire, in foggia di tazze, o di vasi, qualunque liquore.",,,https://www.instagram.com/reel/DMVvhNxsE6W/
198,189,CORTE SECONDA DE LA CAZZA,E che…🤬,"Si trovavano abitazioni, fin dal 1400, della famiglia Cazza.",,,https://www.instagram.com/reel/DMvcJIsM7SF/
199,190,CORTE DELLO ZUCCHERO,Per colpa di chi? 👨‍🎤,"C'erano qui dei magazzini di zucchero. Si riporta dagli storici una legge del 13 agosto 1334, che imponeva il dazio del 5 per 100 sui vascelli che portavano in Venezia lo zucchero di Candia. Grande era il traffico fra noi del genere; oltre di spedirsene in copia a tutte le città d'Italia erano sempre nella capitale magazzini ripieni, donde ad una via delle Zattere il nome, che ancora sussiste, di Calle dello Zucchero. Le sole città Lombarde ritraevano zuccheri da Venezia per 85 mila zecchini all'anno.",,,https://www.instagram.com/reel/DND7i7sssry/
200,191,CAMPIELLO DEI FIORI,Pollice verde 💐,Questo nome indica la presenza di una “bottega da fiorer”.,,,https://www.instagram.com/reel/DNYh6jssSXZ/
201,192,CALLE DE LA LACA,Acconciatura 💇‍♂,Si trovava qui una fabbrica di ceralacca.,,,https://www.instagram.com/reel/DNsl3s8M1CE/
202,193,RIO TERA' OGNISANTI,Tutti 😇,Nome dato alla chiesa fondata nel 1472 dalle monache cistercensi trasferitesi qui da Torcello.,,,https://www.instagram.com/reel/DOB46WWjNuP/
203,194,CALLE DRIO L'ARCHIVIO,Documento 📙,"Presenza dell'Archivio di Stato, propriamente nella zona dell'estensione del 1875 comprendente il monastero di san Nicolò della lattuga.",,,https://www.instagram.com/reel/DOWfSvhDCvT/
204,195,PONTE LONGO,Difficile 📏,"Presente in vari punti della città, testimonia presenza di case della famiglia Longo.",,,https://www.instagram.com/reel/DOrAMF_jLrs/
205,196,RUGA VECHIA,Crema🧴,Denominazione di strada più vecchia rispetto a quelle intorno costruite dopo questa.,,,https://www.instagram.com/reel/DO_1osjjIDb/
206,197,CALLE DEL PADIGLION,Biennale 🖼️,"Nome che deriva dalla famiglia cittadinesca Pierleoni, Perleoni, o Paraleoni, che qui aveva delle case.",,,https://www.instagram.com/reel/DPUavP-DJb-/
207,198,PONTE DELLA LATTE,Macchiato🥛,"Abitava qui, intorno al 1300, la famiglia Dalla Late, che offrì prestiti alla Repubblica, e qualche suo membro ottenne la cittadinanza veneziana.",,,https://www.instagram.com/reel/DPo8N43lOP9/
208,199,CALLE DE LA CORDA,Saltare 🪢,"Zona in cui si tingevano i tessuti con una tecnica particolare, la tintura “in corda”.La tintura in corda avviene quando il tessuto trattato viene raccolto in pieghe longitudinali per tutta la sua lunghezza.",,,https://www.instagram.com/reel/DP8rqURDo3o/
209,200,SALIZADA DEL FONTEGO DEI TURCHI,Lepanto 🇹🇷,"Zona in cui troviamo il Fondaco dei Turchi e varie loro abitazioni (pur abitando, prima del 1600, in gran parte a Cannaregio)",,,https://www.instagram.com/reel/DQXWesQDFsQ/
210,201,CALLE BRAZZO,Arto 💪,Aveva qui la sua abitazione l'antica famiglia Brazzo (talvolta si trova Braso),,,https://www.instagram.com/reel/DQrtbskDPO0/
211,202,FONDAMENTA RIO NOVO,Non c'era 🆕,Rio scavato nel 1931 per mettere più velocemente in comunicazione Piazzale Roma con il cuore turistico di Venezia.,,,https://www.instagram.com/reel/DRAVZ6yjJqp/
212,203,CALLE COLOMBO,Ovvio 🐦,"Aveva qui comprato casa la ricca famiglia Colombo, proveniente da Salò.",,,https://www.instagram.com/reel/DRU8SHEDLD_/
213,204,PISCINA S. MARTIN,Cappa ⭕️,Indicazioni che fanno rifermento alla vicina chiesa di San Martino.,,,https://www.instagram.com/reel/DRpC5qsDJYb/
214,205,CAMPO DEI TEDESCHI,Volkswagen 🇩🇪,Zona in cui abitavano dei tessitori di lana proveniente dalla zona di Gradisca (detti tedeschi perchè confinante con tale nazione),,,https://www.instagram.com/reel/DR-ZAW0jBK7/
215,206,CORTE SECONDA DEL MILION,Immobiliare 💼,"Luogo di nascita del celebre viaggiatore ed esploratore Marco Polo, soprannominato “Milion”.",,,https://www.instagram.com/reel/DSS9oq7DFoE/
216,207,CAMPIELLO S. ROCCO,Patate 🥔,Si trovano qui la chiesa e la scuola grande di san Rocco.,,,https://www.instagram.com/reel/DSxsy0kjIMD/
217,208,SOTOPORTEGO DEI GUARDIANI,Alt! 💂🏻‍♀️💂🏻‍♀️,"Abitavano qui i guardiani, o gastaldi, di qualche scuola di devozione (probabilmente di quella del Sacramento che aveva sede nella vicina chiesa dell'Anzolo Raffaele).",,,https://www.instagram.com/reel/DTOJv9FDE2_/
218,209,CALLE DE LE BOTTEGHE,Cerniera 👖,Zona in cui anticamente c'erano più negozi rispetto a zone vicine,,,https://www.instagram.com/reel/DTiwQ6PjCTH/
219,210,RAMO TERZO AGLI INCURABILI,Visita 👨‍⚕,"Ospedale fondato nel 1522, il cui nome è dovuto alle prima tre donne accolte che, per la malattia venerea che avevano, erano ritenute incurabili. Da lì l'idea di accogliere solo persone incurabili.",,,https://www.instagram.com/reel/DT3WWuzjmAA/
220,211,CALLE LARGA,Metro📏,Qauesta calle deve il suo nome per essere più ampia rispetto a quelle vicine che sono più strette.,,,https://www.instagram.com/reel/DULSD2KDGxF/
221,212,CALLE LARGA CA' MATTA,A caso ☘️,"Casa (ca') matta fa riferimento ad un edificio solido e robusto. Da notare che qui abitava tal Iseppo Camatta, che venne ammesso il 30 giugno 1565 nell'arte dei Compravendi Pesce. Quindi la denominazione è incerta. Il termine Matta per identificare case robuste era usato anche per altri palazzi, ad esempio si chiamava Ca' Matta il palazzo Querini della Ca' Grande a Rialto.",,,https://www.instagram.com/reel/DUjIez3jDJe/
222,213,CAMPIELLO CROSETTA,Viaggio ✝️,C'era qui una abitazione della famiglia Crosetta.,,,https://www.instagram.com/reel/DU1KKGTDO4Q/
223,214,RUGA BELLA,Meravigliosa🤩,Questa denominazione probabilmente proviene dall'amenità del sito.,,,https://www.instagram.com/reel/DVeZAQCjBWK/
224,215,CALLE FONTE,Acqua ⛲,Nome dovuto alle abitazioni di una famiglia che portava questo cognome.,,,https://www.instagram.com/reel/DVwYbr1DFf6/
225,216,CALLE DE LE PIGNATE,Chef 👨‍🍳,Si trovavano qui negozi dove si fabbricavano e si vendevano pentole,,,https://www.instagram.com/reel/DWE-rqtDq__/
226,217,CAMPIELLO DEL POZZO LONGO,Profondo 🪣,"Pozzo circondato da un'alta muraglia, ma che serviva solo per una abitazione privata.",,,https://www.instagram.com/reel/DWXAQxghhuK/
227,218,SOTOPORTEGO E CORTE DEI PIGNOLI,Precisi 👨‍🔧,"Al momento, non abbiamo trovato spiegazioni sul significato di questo toponimo.",,,https://www.instagram.com/reel/DWmVvpXjNPT/
